mpg	cyl	wt	region	model
18	8	3504	1	chevrolet chevelle malibu
15	8	3693	1	buick skylark 320
18	8	3436	1	plymouth satellite
16	8	3433	1	amc rebel sst
17	8	3449	1	ford torino
15	8	4341	1	ford galaxie 500
14	8	4354	1	chevrolet impala
14	8	4312	1	plymouth fury iii
14	8	4425	1	pontiac catalina
15	8	3850	1	amc ambassador dpl
15	8	3563	1	dodge challenger se
14	8	3609	1	plymouth cuda 340
15	8	3761	1	chevrolet monte carlo
14	8	3086	1	buick estate wagon (sw)
24	4	2372	3	toyota corona mark ii
22	6	2833	1	plymouth duster
18	6	2774	1	amc hornet
21	6	2587	1	ford maverick
27	4	2130	3	datsun pl510
26	4	1835	2	volkswagen 1131 deluxe sedan
25	4	2672	2	peugeot 504
24	4	2430	2	audi 100 ls
25	4	2375	2	saab 99e
26	4	2234	2	bmw 2002
21	6	2648	1	amc gremlin
10	8	4615	1	ford f250
10	8	4376	1	chevy c20
11	8	4382	1	dodge d200
9	8	4732	1	hi 1200d
27	4	2130	3	datsun pl510
28	4	2264	1	chevrolet vega 2300
25	4	2228	3	toyota corona
25	4	2046	1	ford pinto
19	6	2634	1	amc gremlin
16	6	3439	1	plymouth satellite custom
17	6	3329	1	chevrolet chevelle malibu
19	6	3302	1	ford torino 500
18	6	3288	1	amc matador
14	8	4209	1	chevrolet impala
14	8	4464	1	pontiac catalina brougham
14	8	4154	1	ford galaxie 500
14	8	4096	1	plymouth fury iii
12	8	4955	1	dodge monaco (sw)
13	8	4746	1	ford country squire (sw)
13	8	5140	1	pontiac safari (sw)
18	6	2962	1	amc hornet sportabout (sw)
22	4	2408	1	chevrolet vega (sw)
19	6	3282	1	pontiac firebird
18	6	3139	1	ford mustang
23	4	2220	1	mercury capri 2000
28	4	2123	2	opel 1900
30	4	2074	2	peugeot 304
30	4	2065	2	fiat 124b
31	4	1773	3	toyota corolla 1200
35	4	1613	3	datsun 1200
27	4	1834	2	volkswagen model 111
26	4	1955	1	plymouth cricket
24	4	2278	3	toyota corona hardtop
25	4	2126	1	dodge colt hardtop
23	4	2254	2	volkswagen type 3
20	4	2408	1	chevrolet vega
21	4	2226	1	ford pinto runabout
13	8	4274	1	chevrolet impala
14	8	4385	1	pontiac catalina
15	8	4135	1	plymouth fury iii
14	8	4129	1	ford galaxie 500
17	8	3672	1	amc ambassador sst
11	8	4633	1	mercury marquis
13	8	4502	1	buick lesabre custom
12	8	4456	1	oldsmobile delta 88 royale
