Sales	SqFt	Inv	Adv	Pop	MedInc
201.6	4.3	539	5.2	15.5	46
138.3	2.9	431.8	10.9	11.3	52.6
245.6	3	259.5	12.4	14.6	50.4
185.1	2.1	535.8	5.8	8.8	40.5
127.7	4.3	476.5	11.6	6.4	49.2
157.5	4.8	527.4	9.7	7	48
135.2	3.7	480	6.9	6.6	47.1
195.5	2	406.7	8	15.7	48.2
182.2	3	359.6	7.6	16.4	47.1
240.6	3.1	416.8	9.2	13.9	49.1
307.1	4.2	561.6	12.5	22.4	45
139.6	3.4	443.3	5.2	20.5	37.6
161.5	3.1	478.9	6.9	8.1	48.2
310.6	4.3	442.2	9.6	21.3	44.6
155.8	3.8	413.8	7.8	18.8	39.9
226.5	2.7	458.6	9.5	12.9	46.4
298.6	4.4	424.3	13.3	16.3	50.2
150.5	4.2	566.4	12.1	10.4	47.7
253.1	3.9	370.9	10.6	15	49.8
240.2	4.7	336.1	12.9	19.2	54.1
303.5	4.5	479.3	11.1	22.4	46.4
322	3.5	418.3	15	23.6	53.4
406.7	4.2	407.2	12	15.1	48.7
222.6	3.9	441.3	6.4	20.4	41.5
156.1	4.6	425.6	14.1	5.1	47.7
165.2	4.4	370.3	7.5	7.7	45.3
241.3	3.9	593.5	9.3	14.3	44.6
326.7	4.2	491.3	9.9	21	44.6
207.9	4.3	535.4	12.7	12.9	50.2
171.3	2.3	519.8	7.9	16.2	42.8
248.7	2.7	384.3	8	24.4	44.9
181.5	3.2	557	13.7	10.4	54
353.8	5	340.5	11.6	24.1	48.8
199.7	2.4	524.5	8.9	24.4	41.5
256.2	3	594.1	10.5	22.1	49.9
410.1	5	488.3	13.6	23.6	51.2
305.4	4.8	467.9	13.5	18.9	53.9
124.8	2.6	486	8.6	5.8	43.4
65.1	5	380.2	6.2	5.6	45
285.6	4	512.3	14.6	18	53.2
95	4.4	525.2	5.9	6.1	43.2
150.4	4.3	408.2	8.2	9	43.9
293.1	4.9	477.6	14.6	21.4	53.2
216.6	4	487.7	7.4	12.9	41.8
83.1	3.1	417.2	10.6	12.9	52.7
252.5	4.4	516.2	10.4	12	43.6
188.6	4.9	518.7	9.2	9.5	48.6
278.2	2.7	465.9	12.6	20.1	50.9
113.6	4.1	499.5	7	7.7	38.6
96.8	3.7	543.4	5.8	7.2	40.7
312.1	3	462.4	14	20.8	47
195.9	2.5	370.2	9.9	13.1	46.9
314.7	3.1	382.9	10.3	24.6	48.1
244.5	2.3	297.4	7.6	14.6	48.7
215.6	4.3	510.8	9.7	7.6	42.5
216.6	3.2	538.1	6.4	23.4	46.5
